id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum,con,hip
49451,87696.0,3974.0,Gl 378.3,21    LMi,,10.123821,35.244693,28.2406,4.49,A7V,,21.0,11.107082559188644,LMi,49593.0
51089,90537.0,4100.0,,31Bet LMi,,10.464727,36.707212,47.1921,4.2,G8III-IV,Bet,31.0,40.5135220229264,LMi,51233.0
53075,94264.0,4247.0,,46    LMi,Praecipua,10.888526,34.214871,29.0867,3.79,K0III-IV,,46.0,22.4491550756959,LMi,53229.0
56044,100029.0,4434.0,,1Lam Dra,Giausar,11.523407,69.331076,102.145,3.82,M0IIIvar,Lam,1.0,269.4014941063669,Dra,56211.0
61088,109387.0,4787.0,,5Kap Dra,,12.558058,69.788238,150.3759,3.85,B6IIIp,Kap,5.0,568.0675741067723,Dra,61281.0
68537,123299.0,5291.0,,11Alp Dra,Thuban,14.073165,64.37585,92.9368,3.67,A0III SB,Alp,11.0,256.09435171567696,Dra,68756.0
75229,137759.0,5744.0,,12Iot Dra,Edasich,15.415494,58.966065,31.027,3.29,K2III,Iot,12.0,40.5135220229264,Dra,75458.0
78290,144284.0,5986.0,Gl 609.1,13The Dra,,16.031532,58.565251,21.0349,4.01,F8IV-V,The,13.0,9.594006315159328,Dra,78527.0
80089,148387.0,6132.0,Gl 624.1A,14Eta Dra,Athebyne,16.39986,61.514213,28.2326,2.73,G8III,Eta,14.0,56.18236281342279,Dra,80331.0
83638,155763.0,6396.0,,22Zet Dra,Aldhibah,17.146448,65.714683,100.7049,3.17,B6III,Zet,22.0,476.4309868054156,Dra,83895.0
89660,170153.0,6927.0,Gl 713A,44Chi Dra,,18.350736,72.732843,8.0574,3.55,F7Vvar,Chi,44.0,2.1498096103893576,Dra,89937.0
94352,181984.0,7352.0,,60Tau Dra,,19.259229,73.355468,44.8833,4.45,K3III,Tau,60.0,29.10717118066605,Dra,94648.0
97124,188119.0,7582.0,,63Eps Dra,,19.80285,70.26793,45.3721,3.84,G8III,Eps,63.0,52.19152658354482,Dra,97433.0
94081,180711.0,7310.0,,57Del Dra,Altais,19.209225,67.661541,29.8686,3.07,G9III,Del,57.0,45.96211446660011,Dra,94376.0
87314,163588.0,6688.0,,32Xi  Dra,Grumium,17.892134,56.872643,34.5066,3.73,K2III,Xi,32.0,33.419504002611426,Dra,87585.0
85557,159541.0,6554.0,,24Nu 1Dra,,17.536251,55.184243,30.248,4.89,Am...,Nu-1,24.0,8.814547044472212,Dra,85819.0
85410,159181.0,6536.0,,23Bet Dra,Rastaban,17.507213,52.301387,116.5501,2.79,G2II,Bet,23.0,906.149802231998,Dra,85670.0
87561,164058.0,6705.0,,33Gam Dra,Eltanin,17.943437,51.488895,47.3037,2.24,K5III,Gam,33.0,247.5141318074314,Dra,87833.0
51027,90610.0,4104.0,,Alp Ant,,10.45253,-31.067779,112.2334,4.28,K4III,Alp,,213.01000374112505,Ant,51172.0
48786,86629.0,3947.0,,Eta Ant,,9.981191,-35.890973,33.3111,5.23,A8IV,Eta,,7.819878403894963,Ant,48926.0
51290,90994.0,4119.0,,30Bet Sex,,10.504855,-0.637026,124.0695,5.08,B6V,Bet,30.0,124.50878639160533,Sex,51437.0
